Stock Name,Symbol,Jun-24
Aarti Industries Limited,AARTIIND,1000
Abb India Limited,ABB,125
Abbott India Limited,ABBOTINDIA,20
Aditya Birla Capital Ltd,ABCAPITAL,5400
Aditya Birla Fashion And Retail Limited,ABFRL,2600
Acc Limited,ACC,300
Adani Enterprises Limited,ADANIENT,300
Adani Ports And Special Economic Zone Limited,ADANIPORTS,400
Alkem Laboratories Limited,ALKEM,100
Ambuja Cements Limited,AMBUJACEM,900
Apollo Hospitals Enterprise Limited,APOLLOHOSP,125
Apollo Tyres Limited,APOLLOTYRE,1700
Ashok Leyland Limited,ASHOKLEY,5000
Asian Paints Limited,ASIANPAINT,200
Astral Poly Technik Limited,ASTRAL,367
Atul Limited,ATUL,75
AU Small Finance Bank,AUBANK,1000
Aurobindo Pharma Limited,AUROPHARMA,550
Axis Bank Limited,AXISBANK,625
Bajaj Auto Limited,BAJAJ-AUTO,125
Bajaj Finserv Limited,BAJAJFINSV,500
Bajaj Finance Limited,BAJFINANCE,125
Balkrishna Industries Limited,BALKRISIND,300
Balrampur Chini Mills Limited,BALRAMCHIN,1600
Bandhan Bank Ltd,BANDHANBNK,2500
Bank Of Baroda,BANKBARODA,2925
Bata India Limited,BATAINDIA,375
Bharat Electronics Limited,BEL,2850
Berger Paints (i) Limited,BERGEPAINT,1320
Bharat Forge Limited,BHARATFORG,500
Bharti Airtel Limited,BHARTIARTL,475
Bharat Heavy Electricals Limited,BHEL,2625
Biocon Limited,BIOCON,2500
Bosch Limited,BOSCHLTD,25
Bharat Petroleum Corporation Limited,BPCL,900
Britannia Industries Limited,BRITANNIA,200
Birlasoft Ltd,BSOFT,1000
Canara Bank,CANBK,1350
Can Fin Homes Limited,CANFINHOME,975
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,1900
Cholamandalam Investment And Finance Company Limited,CHOLAFIN,625
Cipla Limited,CIPLA,650
Coal India Limited,COALINDIA,2100
Coforge (Niit Tech),COFORGE,150
Colgate Palmolive (india) Limited,COLPAL,350
Container Corporation Of India Limited,CONCOR,1000
Coromandel International Limited,COROMANDEL,700
Crompton Greaves Consumer Electricals Limited,CROMPTON,1800
City Union Bank Limited,CUB,5000
Cummins India Limited,CUMMINSIND,300
Dabur India Limited,DABUR,1250
Dalmia Bharat Limited,DALBHARAT,250
Deepak Nitrite Limited,DEEPAKNTR,300
Divi's Laboratories Limited,DIVISLAB,200
Dixon Technologies,DIXON,100
Dlf Limited,DLF,825
Dr. Reddy's Laboratories Limited,DRREDDY,125
Eicher Motors Limited,EICHERMOT,175
Escorts Limited,ESCORTS,275
Exide Industries Limited,EXIDEIND,1800
The Federal Bank  Limited,FEDERALBNK,5000
Gail (india) Limited,GAIL,4575
Glenmark Pharmaceuticals Limited,GLENMARK,725
Gmr Infrastructure Limited,GMRINFRA,11250
Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,1300
Godrej Consumer Products Limited,GODREJCP,500
Godrej Properties Limited,GODREJPROP,475
Granules India Limited,GRANULES,2000
Grasim Industries Limited,GRASIM,477
Gujarat Gas Limited,GUJGASLTD,1250
Hindustan Aeronautics Ltd,HAL,300
Havells India Limited,HAVELLS,500
Hcl Technologies Limited,HCLTECH,350
HDFC Asset Management Company Ltd,HDFCAMC,150
Hdfc Bank Limited,HDFCBANK,550
HDFC Life Insurance Company Ltd,HDFCLIFE,1100
Hero Motocorp Limited,HEROMOTOCO,150
Hindalco Industries Limited,HINDALCO,1400
